,ID Candidato,Género,Carrera Gestional,Avance,Semestres Totales,Postulados Si/No,Evaluados Si/No,Altamente Recomendado,Operaciones-Calidad,MTTO-DIMA,Comercial-Planeamiento,DIGI-SC,Resto-Soft,Apto/No Apto,Destacado Pym,Ingles,Apto/ Destacado,Ingresados Si/No
932,932.0,F,Ing. Desarrollo Sustentable,,,Si,Si,,0,0,0,0,0,0,0,0, ,0
933,933.0,M,Ing. Física,,,Si,Si,,0,0,0,0,0,0,0,0, ,0
934,934.0,F,Ing. Desarrollo Sustentable,,,Si,Si,,5,3,3,1,3,1,1,0, ,0
935,935.0,M,Ing. Mecatrónica/Electrónica,,,Si,Si,,1,1,1,1,1,0,0,0, ,0
936,936.0,M,Ing. Mecánica,,,Si,Si,,0,0,0,0,0,0,0,0, ,0
937,937.0,F,Ing. Robótica y Sistemas Digitales,,,Si,Si,,3,1,1,1,1,1,0,0, ,0
938,938.0,F,Ing. Innovación y Desarrollo,,,Si,Si,,0,0,0,0,0,0,0,0, ,0
939,939.0,M,Ing. Mecánica,,,Si,Si,,1,5,1,1,1,1,1,0,2,1
940,940.0,F,Ing. Biotecnología,,,Si,Si,,0,0,0,0,0,0,0,0, ,0
941,941.0,M,Ing. Civil,,,Si,Si,,1,3,5,5,3,1,1,0,2,1
942,942.0,F,Ing. Física,,,Si,Si,,1,1,1,1,1,0,0,0, ,0
943,943.0,M,Ing. Mecatrónica/Electrónica,,,Si,Si,,1,1,1,1,1,0,0,0, ,0
944,944.0,F,Ing. Nanotecnología,,,Si,Si,,1,5,1,1,1,1,1,0,2,1
945,945.0,M,Ing. Innovación y Desarrollo,,,Si,Si,,1,3,1,3,3,1,0,0, ,0
946,946.0,M,Ing. Nanotecnología,,,Si,Si,,1,3,1,1,1,1,0,0, ,0
947,947.0,M,Economía/Finanzas,,,Si,Si,,5,3,1,1,1,1,1,0,1,0
948,948.0,F,Ing. Química,,,Si,Si,,1,1,1,1,5,1,0,0, ,0
949,949.0,M,Ing. Nanotecnología,,,Si,Si,,3,5,1,3,5,1,1,0, ,0
950,950.0,F,Negocios Internacionales,,,Si,Si,,0,0,0,0,0,0,0,0, ,0
951,951.0,F,Ing. Mecánica,,,Si,Si,,0,0,0,0,0,0,0,0, ,0
952,952.0,M,Ing. Mecánica,,,Si,Si,,1,3,5,5,3,1,1,0,1,0
953,953.0,M,Ing. Industrial,,,Si,Si,,5,1,5,5,1,1,1,0, ,0
954,954.0,M,Ing. Mecánica,,,Si,Si,,5,3,5,5,1,1,1,0,2,0
955,955.0,F,Ing. Desarrollo Sustentable,,,Si,Si,,1,3,1,1,1,1,0,0, ,0
956,956.0,F,Negocios Internacionales,,,Si,Si,,1,1,1,1,1,0,0,0, ,0
957,957.0,M,Ing. Mecatrónica/Electrónica,,,Si,Si,,1,1,1,1,1,0,0,0, ,0
958,958.0,M,Ing. Civil,,,Si,Si,,1,5,1,1,1,1,1,0,1,1
959,959.0,F,Ing. Civil,,,Si,Si,,1,1,1,1,3,1,0,0, ,0
960,960.0,M,Ing. Química,,,Si,Si,,1,3,1,1,3,1,0,0, ,0
961,961.0,F,Ing. Química,,,Si,Si,,5,1,1,1,1,1,1,0, ,0
962,962.0,M,Ing. Robótica y Sistemas Digitales,,,Si,Si,,3,1,1,1,3,1,0,0, ,0
963,963.0,M,Ing. Nanotecnología,,,Si,Si,,1,5,1,1,3,1,1,0,2,1
964,964.0,M,Ing. Mecatrónica/Electrónica,,,Si,Si,,0,0,0,0,0,0,0,0, ,0
965,965.0,M,Ing. Mecánica,,,Si,Si,,1,5,1,1,1,1,1,0, ,0
966,966.0,M,Ing. Mecánica,,,Si,Si,,1,1,1,1,3,1,0,0, ,0
967,967.0,M,Ing. Mecánica,,,Si,Si,,5,5,3,3,1,1,1,0,1,0
968,968.0,M,Ing. Mecatrónica/Electrónica,,,Si,Si,,3,1,1,1,1,1,0,0, ,0
969,969.0,F,Ing. Física,,,Si,Si,,5,1,1,1,1,1,1,0,2,1
970,970.0,M,Ing. Mecatrónica/Electrónica,,,Si,Si,,1,1,1,1,3,1,0,0, ,0
971,971.0,F,Ing. Nanotecnología,,,Si,Si,,1,1,3,3,1,1,0,0, ,0
972,972.0,M,Ing. Mecatrónica/Electrónica,,,Si,Si,,5,1,1,3,1,1,1,0, ,0
973,973.0,M,Ing. Mecánica,,,Si,Si,,0,0,0,0,0,0,0,0, ,0
974,974.0,F,Ing. Nanotecnología,,,Si,Si,,5,3,1,1,1,1,1,0, ,0
975,975.0,M,Ing. Industrial,,,Si,Si,,1,1,1,3,5,1,0,0, ,0
976,976.0,M,Ing. Mecatrónica/Electrónica,,,Si,Si,,1,1,1,1,5,1,0,0, ,0
977,977.0,M,Ing. Mecánica,9.0,10.0,Si,Si,,1,3,1,1,1,1,0,0, ,0
978,978.0,M,Ing. Mecánica,9.0,10.0,Si,Si,,5,1,1,3,1,1,1,0, ,0
979,979.0,M,Ing. Mecatrónica/Electrónica,9.0,10.0,Si,Si,,5,5,1,1,5,1,1,0, ,0
980,980.0,M,Ing. Mecánica,10.0,12.0,Si,Si,,3,1,5,1,3,1,1,0,1,0
981,981.0,M,Ing. Mecánica,9.0,10.0,Si,Si,,0,0,0,0,0,0,0,0, ,0
982,982.0,F,Ing. Mecánica,7.0,10.0,Si,Si,,1,1,1,1,1,0,0,0, ,0
983,983.0,M,Ing. Mecánica,9.0,10.0,Si,Si,,5,1,1,1,1,1,1,0,2,1
984,984.0,M,Ing. Mecatrónica/Electrónica,9.0,10.0,Si,Si,,5,3,3,3,1,1,1,0,2,0
985,985.0,M,Ing. Administración de Sistemas,9.0,10.0,Si,Si,,1,1,1,5,3,1,1,0, ,0
986,986.0,F,Ing. Mecatrónica/Electrónica,9.0,10.0,Si,Si,,1,1,5,3,1,1,1,0, ,0
987,987.0,M,Ing. Mecánica,11.0,10.0,Si,Si,,1,3,1,1,1,1,0,0, ,0
